// Translations file for Lix

// mainNameOfLanguage: This is how your translated language appears in the
// options dialogue. Translate this to your language ("Deutsch" or "Français"),
// don't have your language's name in English (don't put "German" or "French")

$mainNameOfLanguage         English
$netChatVersionYours         Your version is
$netChatVersionServer        , the server requires
$netChatServerUpdate         The server should update to the most recent Lix version.
$netChatPleaseDownload       Download the newest version from:
$netChatWeConnected          You have joined the network. Enter a room to start playing.
$netChatWeInRoom            You have entered room #
$netChatWeInRoom2          .
$netChatWeInLobby           You went back into the lobby.
$netChatPlayerInRoom         has joined room #
$netChatPlayerInRoom2      .
$netChatPlayerInLobby        has entered the lobby.
$netChatPlayerOutRoom        has entered room #
$netChatPlayerOutRoom2     .
$netChatPlayerOutLobby       has left the room.
$netChatLevelChange          has selected this level:
$netGameStart                 The game has started.
$netGameHowToChat1          Press [
$netGameHowToChat2         ] to chat.
$netGameEnd                   The game is over.
$netGameEndResult            Game outcome:
$netGameOvertime1            has finished playing and has saved
$netGameOvertime2            lix.
$netGameOvertime2One        one lix.
$netGameOvertime3            Now, the overtime of
$netGameOvertime4            minutes will begin!
$netGameOvertime4One        minute will begin!
$netGameOvertime4Sec        seconds will begin!

// Optionsfenster

$optionTitle                   Options
$optionGroupGraphics           Graphics
$optionGroupGeneral            General
$optionGroupControls           Controls
$optionGroupGameKeys           Game keys
$optionGroupEditorKeys         Editor keys
$optionGroupMenuKeys           Menu keys
$optionGroupSound              Sound
$optionUserName               Player name
$optionLanguage               Language
$optionReplayAutoSolutions    Auto-save level solutions
$optionReplayAutoMulti        Auto-save multiplayer games
$optionMouseSpeed             Mouse speed
$optionScrollSpeedEdge        Scroll speed at screen edge
$optionScrollSpeedClick       Scroll speed with that key
$optionFastMovementFreesMouse Fast movement releases mouse
$optionAvoidBuilderQueuing    Prefer spamming over queuing
$optionAvoidBatterToExploder  Prefer batters to non-exploders
$optionPausedAssign           Skill assignment during pause:
$optionPausedAssignStayPaused Don't advance
$optionPausedAssignAdvance    Advance by 1 frame
$optionPausedAssignUnpause    Unpause

$optionScreenWindowed           Windowed mode
$optionScreenWindowedRes        Windowed resolution
$optionPaintTorusSeams          Paint torus seams
$optionIngameTooltips           Tooltips during game
$optionShowButtonHotkeys        Show button hotkeys
$optionShowFPS                  Show framerate (FPS)
$optionGuiColorRed              Menu color red
$optionGuiColorGreen            Menu color green
$optionGuiColorBlue             Menu color blue
$optionSoundVolume              Sound volume

$optionKeyUnassigned          none
$optionKeyForceLeft          Force left
$optionKeyForceRight         Force right
$optionKeyScroll              Hold to scroll
$optionKeyPriorityInvert      Priority invert
$optionKeyPause               Pause
$optionKeyFrameBackMany       ◀▮ 1 sec.
$optionKeyFrameBackOne        ◀▮ 1 frame
$optionKeyFrameAheadOne       ▮▶ 1 frame
$optionKeyFrameAheadMany      ▮▶ 10 sec.
$optionKeySpeedFast           ▶▶
$optionKeySpeedTurbo          ▶▶▶
$optionKeyRestart             Restart
$optionKeyStateLoad          Load state
$optionKeyStateSave          Save state
$optionKeyZoomIn             Zoom +
$optionKeyZoomOut            Zoom −
$optionKeyChat                Chat
$optionKeySpecTribe          Cycle teams
$optionKeyNuke                Nuke

$optionKeyMenuOkay            Okay/yes
$optionKeyMenuEdit            Edit
$optionKeyMenuExport          Export
$optionKeyMenuDelete          Delete/no
$optionKeyMenuUpDir           Parent dir
$optionKeyMenuUpBy5           Up by 5
$optionKeyMenuUpBy1           Up by 1
$optionKeyMenuDownBy1         Down by 1
$optionKeyMenuDownBy5         Down by 5
$optionKeyMenuExit            Back/cancel

$optionEdLeft                 Move left
$optionEdRight                Move right
$optionEdUp                   Move up
$optionEdDown                 Move down
$optionEdSave                 Save
$optionEdSaveAs               Save as
$optionEdGrid                 Grid size
$optionEdGridCustom           Custom grid size
$optionEdSelectAll            Select all
$optionEdSelectFrame          Select frame
$optionEdSelectAdd            Add to sel.
$optionEdUndo                 Undo
$optionEdRedo                 Redo
$optionEdGroup                Make group
$optionEdUngroup              Ungroup
$optionEdCopy                 Copy
$optionEdDelete               Delete
$optionEdForeground           Foreground
$optionEdBackground           Background
$optionEdMirror               Mirror
$optionEdRotate               Rotate
$optionEdDark                 Draw black
$optionEdAddTerrain           Add terrain
$optionEdAddSteel             Add steel
$optionEdAddHatch             Add hatch
$optionEdAddGoal              Add goal
$optionEdAddDeco              Add deco
$optionEdAddHazard            Add hazard

// mini-dialogue to greet a new player
$windowAskNameTitle          Lix
$windowAskNameFirst          Hello and Welcome!
$windowAskNameSecond         What's your name?
